"","parent.location"
"1","Accomack County, Virginia"
"2","Albemarle County, Virginia"
"3","Alexandria city, Virginia"
"4","Alleghany County, Virginia"
"5","Amelia County, Virginia"
"6","Amherst County, Virginia"
"7","Appomattox County, Virginia"
"8","Arlington County, Virginia"
"9","Augusta County, Virginia"
"10","Bath County, Virginia"
"11","Bedford County, Virginia"
"12","Bland County, Virginia"
"13","Botetourt County, Virginia"
"14","Bristol city, Virginia"
"15","Brunswick County, Virginia"
"16","Buchanan County, Virginia"
"17","Buckingham County, Virginia"
"18","Buena Vista city, Virginia"
"19","Campbell County, Virginia"
"20","Caroline County, Virginia"
"21","Carroll County, Virginia"
"22","Charles City County, Virginia"
"23","Charlotte County, Virginia"
"24","Charlottesville city, Virginia"
"25","Chesapeake city, Virginia"
"26","Chesterfield County, Virginia"
"27","Clarke County, Virginia"
"28","Colonial Heights city, Virginia"
"29","Covington city, Virginia"
"30","Craig County, Virginia"
"31","Culpeper County, Virginia"
"32","Cumberland County, Virginia"
"33","Danville city, Virginia"
"34","Dickenson County, Virginia"
"35","Dinwiddie County, Virginia"
"36","Emporia city, Virginia"
"37","Essex County, Virginia"
"38","Fairfax city, Virginia"
"39","Fairfax County, Virginia"
"40","Falls Church city, Virginia"
"41","Fauquier County, Virginia"
"42","Floyd County, Virginia"
"43","Fluvanna County, Virginia"
"44","Franklin city, Virginia"
"45","Franklin County, Virginia"
"46","Frederick County, Virginia"
"47","Fredericksburg city, Virginia"
"48","Galax city, Virginia"
"49","Giles County, Virginia"
"50","Gloucester County, Virginia"
"51","Goochland County, Virginia"
"52","Grayson County, Virginia"
"53","Greene County, Virginia"
"54","Greensville County, Virginia"
"55","Halifax County, Virginia"
"56","Hampton city, Virginia"
"57","Hanover County, Virginia"
"58","Harrisonburg city, Virginia"
"59","Henrico County, Virginia"
"60","Henry County, Virginia"
"61","Highland County, Virginia"
"62","Hopewell city, Virginia"
"63","Isle of Wight County, Virginia"
"64","James City County, Virginia"
"65","King and Queen County, Virginia"
"66","King George County, Virginia"
"67","King William County, Virginia"
"68","Lancaster County, Virginia"
"69","Lee County, Virginia"
"70","Lexington city, Virginia"
"71","Loudoun County, Virginia"
"72","Louisa County, Virginia"
"73","Lunenburg County, Virginia"
"74","Lynchburg city, Virginia"
"75","Madison County, Virginia"
"76","Manassas city, Virginia"
"77","Manassas Park city, Virginia"
"78","Martinsville city, Virginia"
"79","Mathews County, Virginia"
"80","Mecklenburg County, Virginia"
"81","Middlesex County, Virginia"
"82","Montgomery County, Virginia"
"83","Nelson County, Virginia"
"84","New Kent County, Virginia"
"85","Newport News city, Virginia"
"86","Norfolk city, Virginia"
"87","Northampton County, Virginia"
"88","Northumberland County, Virginia"
"89","Norton city, Virginia"
"90","Nottoway County, Virginia"
"91","Orange County, Virginia"
"92","Page County, Virginia"
"93","Patrick County, Virginia"
"94","Petersburg city, Virginia"
"95","Pittsylvania County, Virginia"
"96","Poquoson city, Virginia"
"97","Portsmouth city, Virginia"
"98","Powhatan County, Virginia"
"99","Prince Edward County, Virginia"
"100","Prince George County, Virginia"
"101","Prince William County, Virginia"
"102","Pulaski County, Virginia"
"103","Radford city, Virginia"
"104","Rappahannock County, Virginia"
"105","Richmond city, Virginia"
"106","Richmond County, Virginia"
"107","Roanoke city, Virginia"
"108","Roanoke County, Virginia"
"109","Rockbridge County, Virginia"
"110","Rockingham County, Virginia"
"111","Russell County, Virginia"
"112","Salem city, Virginia"
"113","Scott County, Virginia"
"114","Shenandoah County, Virginia"
"115","Smyth County, Virginia"
"116","Southampton County, Virginia"
"117","Spotsylvania County, Virginia"
"118","Stafford County, Virginia"
"119","Staunton city, Virginia"
"120","Suffolk city, Virginia"
"121","Surry County, Virginia"
"122","Sussex County, Virginia"
"123","Tazewell County, Virginia"
"124","Virginia"
"125","Virginia Beach city, Virginia"
"126","Warren County, Virginia"
"127","Washington County, Virginia"
"128","Waynesboro city, Virginia"
"129","Westmoreland County, Virginia"
"130","Williamsburg city, Virginia"
"131","Winchester city, Virginia"
"132","Wise County, Virginia"
"133","Wythe County, Virginia"
"134","York County, Virginia"
"135","Washington, DC"
